event_id,label,lat,lon,chip_path,time
S2B_MSIL1C_20240824T062629_N0511_R077_T41RKH_20240824T090336.SAFE_1,GOOD,25.017882990705132,60.23224195097599,chips/S2B_MSIL1C_20240824T062629_N0511_R077_T41RKH_20240824T090336.SAFE_1.png,2024-08-24T06:42:33.239990+00:00
S2B_MSIL1C_20240824T080609_N0511_R078_T36RYQ_20240824T103021.SAFE_0,BAD,27.078108098808176,35.52532781443999,chips/S2B_MSIL1C_20240824T080609_N0511_R078_T36RYQ_20240824T103021.SAFE_0.png,2024-08-24T08:22:45.575754+00:00
S2B_MSIL1C_20240824T012659_N0511_R074_T54TYT_20240824T031649.SAFE_0,GOOD,47.19227985752899,143.99787657896204,chips/S2B_MSIL1C_20240824T012659_N0511_R074_T54TYT_20240824T031649.SAFE_0.png,2024-08-24T01:33:59.727425+00:00
S2A_MSIL1C_20240825T082601_N0511_R021_T37TDM_20240825T105755.SAFE_1,GOOD,46.936012943130834,38.03339685817958,chips/S2A_MSIL1C_20240825T082601_N0511_R021_T37TDM_20240825T105755.SAFE_1.png,2024-08-25T08:37:08.124548+00:00
S2A_MSIL1C_20240824T104021_N0511_R008_T31SBC_20240824T142025.SAFE_43,BAD,38.76248092887349,0.2297392844560888,chips/S2A_MSIL1C_20240824T104021_N0511_R008_T31SBC_20240824T142025.SAFE_43.png,2024-08-24T10:50:29.694076+00:00
S2B_MSIL1C_20240824T145729_N0511_R082_T21TWN_20240824T182803.SAFE_9,BAD,47.53486254599003,-56.82706102831171,chips/S2B_MSIL1C_20240824T145729_N0511_R082_T21TWN_20240824T182803.SAFE_9.png,2024-08-24T14:59:32.287809+00:00
S2A_MSIL1C_20240824T153931_N0511_R011_T19TCJ_20240824T205913.SAFE_150,BAD,43.77709323764632,-71.4833862111625,chips/S2A_MSIL1C_20240824T153931_N0511_R011_T19TCJ_20240824T205913.SAFE_150.png,2024-08-24T15:50:54.484061+00:00
S2A_MSIL1C_20240824T155521_N0511_R011_T17QRE_20240824T205926.SAFE_1,GOOD,21.97476628808408,-77.29573256204905,chips/S2A_MSIL1C_20240824T155521_N0511_R011_T17QRE_20240824T205926.SAFE_1.png,2024-08-24T15:57:04.172389+00:00
S2A_MSIL1C_20240826T213901_N0511_R043_T03QWF_20240827T002829.SAFE_0,BAD,23.35888197008924,-164.21252767350208,chips/S2A_MSIL1C_20240826T213901_N0511_R043_T03QWF_20240827T002829.SAFE_0.png,2024-08-26T21:39:12.423209+00:00
S2B_MSIL1C_20240824T030519_N0511_R075_T48QZD_20240824T064532.SAFE_0,BAD,17.13641949330121,108.1284971882313,chips/S2B_MSIL1C_20240824T030519_N0511_R075_T48QZD_20240824T064532.SAFE_0.png,2024-08-24T03:23:28.858875+00:00
S2A_MSIL1C_20240829T213531_N0511_R086_T05VMC_20240829T232900.SAFE_0,GOOD,56.78536939555178,-154.14466193690345,chips/S2A_MSIL1C_20240829T213531_N0511_R086_T05VMC_20240829T232900.SAFE_0.png,2024-08-29T21:39:46.826253+00:00
S2A_MSIL1C_20240824T141711_N0511_R010_T21PXS_20240824T174028.SAFE_2,GOOD,14.632537026098486,-55.1752874982515,chips/S2A_MSIL1C_20240824T141711_N0511_R010_T21PXS_20240824T174028.SAFE_2.png,2024-08-24T14:18:28.819872+00:00
S2B_MSIL1C_20240824T012659_N0511_R074_T54SVE_20240824T031649.SAFE_15,GOOD,35.60967346027558,139.96927073911502,chips/S2B_MSIL1C_20240824T012659_N0511_R074_T54SVE_20240824T031649.SAFE_15.png,2024-08-24T01:37:17.948576+00:00
S2A_MSIL1C_20240824T124311_N0511_R009_T25MDP_20240824T173954.SAFE_3,BAD,-6.126673229908011,-33.62482615288371,chips/S2A_MSIL1C_20240824T124311_N0511_R009_T25MDP_20240824T173954.SAFE_3.png,2024-08-24T12:43:31.653440+00:00
S2A_MSIL1C_20240824T071621_N0511_R006_T37LFJ_20240824T110124.SAFE_1,BAD,-10.31850763736735,40.43420590451193,chips/S2A_MSIL1C_20240824T071621_N0511_R006_T37LFJ_20240824T110124.SAFE_1.png,2024-08-24T07:42:44.986989+00:00
S2A_MSIL1C_20240824T005701_N0511_R002_T54MWC_20240824T033538.SAFE_4,GOOD,-2.6807108599634453,141.36923533444912,chips/S2A_MSIL1C_20240824T005701_N0511_R002_T54MWC_20240824T033538.SAFE_4.png,2024-08-24T00:57:44.324339+00:00
S2B_MSIL1C_20240824T180919_N0511_R084_T12RTT_20240824T214239.SAFE_1,BAD,29.55758252425047,-113.5569669261962,chips/S2B_MSIL1C_20240824T180919_N0511_R084_T12RTT_20240824T214239.SAFE_1.png,2024-08-24T18:26:07.702165+00:00
S2B_MSIL1C_20240824T000729_N0511_R073_T56LPN_20240824T014112.SAFE_0,GOOD,-10.964371849111295,154.03240231072866,chips/S2B_MSIL1C_20240824T000729_N0511_R073_T56LPN_20240824T014112.SAFE_0.png,2024-08-24T00:09:49.809478+00:00
S2B_MSIL1C_20240824T030519_N0511_R075_T48MWD_20240824T073032.SAFE_2,BAD,-1.2951197791084286,105.13955252791277,chips/S2B_MSIL1C_20240824T030519_N0511_R075_T48MWD_20240824T073032.SAFE_2.png,2024-08-24T03:28:29.119102+00:00
S2A_MSIL1C_20240824T085551_N0511_R007_T33LUH_20240824T130629.SAFE_2,BAD,-11.072755196925801,13.689995669703219,chips/S2A_MSIL1C_20240824T085551_N0511_R007_T33LUH_20240824T130629.SAFE_2.png,2024-08-24T09:23:46.860376+00:00
S2B_MSIL1C_20240825T143749_N0511_R096_T19HBD_20240825T175837.SAFE_13,BAD,-32.775232438717744,-71.51863454934579,chips/S2B_MSIL1C_20240825T143749_N0511_R096_T19HBD_20240825T175837.SAFE_13.png,2024-08-25T14:52:08.565835+00:00
S2B_MSIL1C_20240824T133149_N0511_R081_T23NMA_20240824T151028.SAFE_1,GOOD,0.16036775089994446,-45.38292269098038,chips/S2B_MSIL1C_20240824T133149_N0511_R081_T23NMA_20240824T151028.SAFE_1.png,2024-08-24T13:32:11.587972+00:00
S2B_MSIL1C_20240824T201909_N0511_R085_T06KTF_20240824T230604.SAFE_21,BAD,-17.615640826869498,-149.6886734533582,chips/S2B_MSIL1C_20240824T201909_N0511_R085_T06KTF_20240824T230604.SAFE_21.png,2024-08-24T20:20:01.269311+00:00
S2A_MSIL1C_20240830T194651_N0511_R099_T07LCH_20240831T000725.SAFE_0,BAD,-11.3521054062511,-141.99423322739145,chips/S2A_MSIL1C_20240830T194651_N0511_R099_T07LCH_20240831T000725.SAFE_0.png,2024-08-30T19:48:08.143433+00:00
S2B_MSIL1C_20240824T220619_N0511_R086_T60HWB_20240824T233423.SAFE_3,GOOD,-39.265515444133214,177.8776425311039,chips/S2B_MSIL1C_20240824T220619_N0511_R086_T60HWB_20240824T233423.SAFE_3.png,2024-08-24T22:06:58.656794+00:00
S2B_MSIL1C_20240826T004709_N0511_R102_T53HQA_20240826T021236.SAFE_1,GOOD,-35.657133680475866,138.0251110845672,chips/S2B_MSIL1C_20240826T004709_N0511_R102_T53HQA_20240826T021236.SAFE_1.png,2024-08-26T00:57:02.434192+00:00
S2B_MSIL1C_20240830T104039_N0511_R022_T29HNS_20240830T153355.SAFE_0,BAD,-39.36279991790451,-8.621806245141176,chips/S2B_MSIL1C_20240830T104039_N0511_R022_T29HNS_20240830T153355.SAFE_0.png,2024-08-30T10:42:06.639789+00:00
S2B_MSIL1C_20240824T120639_N0511_R080_T24FXE_20240824T134405.SAFE_0,GOOD,-54.198397052803706,-36.572196387687825,chips/S2B_MSIL1C_20240824T120639_N0511_R080_T24FXE_20240824T134405.SAFE_0.png,2024-08-24T12:07:07.092793+00:00
S2B_MSIL1C_20240825T143749_N0511_R096_T18HXE_20240825T175837.SAFE_1,GOOD,-36.72280065608185,-73.0085908356438,chips/S2B_MSIL1C_20240825T143749_N0511_R096_T18HXE_20240825T175837.SAFE_1.png,2024-08-25T14:53:12.199095+00:00
S2B_MSIL1C_20240830T172349_N0511_R026_T12HXF_20240830T220544.SAFE_0,BAD,-35.70119107403259,-108.99844949829743,chips/S2B_MSIL1C_20240830T172349_N0511_R026_T12HXF_20240830T220544.SAFE_0.png,2024-08-30T17:23:57.099301+00:00
S2B_MSIL1C_20240824T001109_N0511_R073_T55HDS_20240824T025203.SAFE_2,GOOD,-39.19865767307543,146.32244630315722,chips/S2B_MSIL1C_20240824T001109_N0511_R073_T55HDS_20240824T025203.SAFE_2.png,2024-08-24T00:17:47.583229+00:00
S2A_MSIL1C_20240825T002701_N0511_R016_T54HVC_20240825T030743.SAFE_1,GOOD,-38.075509695491235,140.73563030466045,chips/S2A_MSIL1C_20240825T002701_N0511_R016_T54HVC_20240825T030743.SAFE_1.png,2024-08-25T00:37:41.533281+00:00
S2A_MSIL1C_20240825T072241_N0511_R020_T36GYP_20240825T104922.SAFE_0,GOOD,-46.44868128536897,36.29774599839882,chips/S2A_MSIL1C_20240825T072241_N0511_R020_T36GYP_20240825T104922.SAFE_0.png,2024-08-25T07:22:51.441690+00:00
S2B_MSIL1C_20240824T030519_N0511_R075_T48MVC_20240824T073032.SAFE_2,GOOD,-1.9397016415551755,104.84391409855048,chips/S2B_MSIL1C_20240824T030519_N0511_R075_T48MVC_20240824T073032.SAFE_2.png,2024-08-24T03:28:46.966992+00:00
S2A_MSIL1C_20240824T124311_N0511_R009_T25MDP_20240824T173954.SAFE_1,GOOD,-5.735759242662593,-33.56706209953899,chips/S2A_MSIL1C_20240824T124311_N0511_R009_T25MDP_20240824T173954.SAFE_1.png,2024-08-24T12:43:31.653440+00:00
S2B_MSIL1C_20240824T000729_N0511_R073_T56LNN_20240824T014112.SAFE_2,BAD,-11.41799391835017,153.19190545897223,chips/S2B_MSIL1C_20240824T000729_N0511_R073_T56LNN_20240824T014112.SAFE_2.png,2024-08-24T00:09:53.581970+00:00
S2B_MSIL1C_20240824T120639_N0511_R080_T25FDU_20240824T134405.SAFE_0,GOOD,-55.09049854365485,-34.49673066246471,chips/S2B_MSIL1C_20240824T120639_N0511_R080_T25FDU_20240824T134405.SAFE_0.png,2024-08-24T12:07:11.025822+00:00
S2B_MSIL1C_20240825T143749_N0511_R096_T18HXD_20240825T175837.SAFE_21,BAD,-37.63275425031095,-73.68884068128601,chips/S2B_MSIL1C_20240825T143749_N0511_R096_T18HXD_20240825T175837.SAFE_21.png,2024-08-25T14:53:26.460918+00:00
S2B_MSIL1C_20240824T080609_N0511_R078_T34HFG_20240824T115109.SAFE_7,GOOD,-34.74716804694033,22.461706637069028,chips/S2B_MSIL1C_20240824T080609_N0511_R078_T34HFG_20240824T115109.SAFE_7.png,2024-08-24T08:39:57.987175+00:00
S2A_MSIL1C_20240825T134701_N0511_R024_T20HPB_20240825T202404.SAFE_6,GOOD,-39.32373305869609,-61.552803953235156,chips/S2A_MSIL1C_20240825T134701_N0511_R024_T20HPB_20240825T202404.SAFE_6.png,2024-08-25T14:03:33.282910+00:00
S2A_MSIL1C_20240824T071621_N0511_R006_T38MKV_20240824T110124.SAFE_0,GOOD,-5.052219890483417,42.48985424182737,chips/S2A_MSIL1C_20240824T071621_N0511_R006_T38MKV_20240824T110124.SAFE_0.png,2024-08-24T07:41:08.965341+00:00
S2B_MSIL1C_20240824T133149_N0511_R081_T23MMU_20240824T151028.SAFE_1,BAD,-1.2374785264111514,-45.59247068956832,chips/S2B_MSIL1C_20240824T133149_N0511_R081_T23MMU_20240824T151028.SAFE_1.png,2024-08-24T13:32:40.574802+00:00
S2B_MSIL1C_20240830T172349_N0511_R026_T12HXC_20240830T220544.SAFE_0,BAD,-38.561280265472774,-109.43749331355173,chips/S2B_MSIL1C_20240830T172349_N0511_R026_T12HXC_20240830T220544.SAFE_0.png,2024-08-30T17:24:39.985774+00:00
S2A_MSIL1C_20240824T005701_N0511_R002_T54LUQ_20240824T033538.SAFE_3,GOOD,-9.851853944223212,139.88511336824504,chips/S2A_MSIL1C_20240824T005701_N0511_R002_T54LUQ_20240824T033538.SAFE_3.png,2024-08-24T00:59:46.987789+00:00
S2A_MSIL1C_20240830T181401_N0511_R098_T10HFF_20240830T230705.SAFE_0,GOOD,-35.47986424941379,-121.83074968445467,chips/S2A_MSIL1C_20240830T181401_N0511_R098_T10HFF_20240830T230705.SAFE_0.png,2024-08-30T18:14:12.299208+00:00
S2B_MSIL1C_20240825T143749_N0511_R096_T19HBD_20240825T175837.SAFE_11,GOOD,-32.7733560898778,-71.51485799905284,chips/S2B_MSIL1C_20240825T143749_N0511_R096_T19HBD_20240825T175837.SAFE_11.png,2024-08-25T14:52:08.565835+00:00
S2B_MSIL1C_20240824T201909_N0511_R085_T06KTF_20240824T230604.SAFE_8,GOOD,-17.617113327485605,-149.78059812071663,chips/S2B_MSIL1C_20240824T201909_N0511_R085_T06KTF_20240824T230604.SAFE_8.png,2024-08-24T20:20:01.269311+00:00
